transaction_id,customer_id,card_id,merchant_id,transaction_date,posting_date,amount,currency,transaction_type,channel,status,emi_flag,reward_points,bill_cycle_month,payment_due_date,payment_status,min_due,total_due,fraud_flag,remarks
601,3,2,2,2025-02-14,2025-01-16,634.89,INR,Purchase,Online,SUCCESS,,101,2025-02,2025-03-24,paid,172.12,1438.73,N,incremental autoloader credit card transaction file
602,4,3,3,2025-03-15,2025-02-17,635.78,USD,Purchase,Online,SUCCESS,N,102,2025-03,wrong_date,paid,172.24,1439.46,N,incremental autoloader credit card transaction file
603,5,4,4,2025-01-16,2025-03-18,636.67,INR,Purchase,Online,,,103,2025-04,2025-02-26,paid,172.36,1440.19,N,incremental autoloader credit card transaction file
604,6,5,5,2025-02-17,2025-01-19,637.56,INR,Purchase,Online,SUCCESS,,104,2025-05,2025-03-27,paid,172.48,1440.92,N,incremental autoloader credit card transaction file
605,7,6,6,2025-03-18,2025-02-20,$700,INR,Purchase,Online,SUCCESS,,105,2025-06,2025-01-28,paid,172.6,1441.65,N,incremental autoloader credit card transaction file
606,8,7,7,2025-01-19,25-02-2025,639.34,INR,Purchase,Online,SUCCESS,,106,2025-07,2025-02-01,paid,172.72,1442.38,N,incremental autoloader credit card transaction file
607,9,8,8,2025-02-20,,640.23,INR,Purchase,Online,SUCCESS,,107,2025-08,2025-03-02,paid,172.84,1443.11,N,incremental autoloader credit card transaction file
608,10,9,9,25-02-2025,2025-02-23,,,Purchase,Online,SUCCESS,,108,,2025-01-03,OVERDUE,172.96,1443.84,N,incremental autoloader credit card transaction file
609,11,10,10,,2025-03-24,642.01,INR,Purchase,Online,SUCCESS,yes,109,2025-10,2025-02-04,paid,173.08,1444.57,N,incremental autoloader credit card transaction file
610,12,11,11,2025-02-23,wrong_date,642.9, inr ,Purchase,Online,SUCCESS,,110,2025-11,2025-03-05,paid,173.2,1445.3,N,incremental autoloader credit card transaction file
611,13,12,12,2025-03-24,2025-02-26,"2,500",INR,Purchase,Online,SUCCESS,Y,111,2025-12,2025/02/25,paid,173.32,1446.03,N,incremental autoloader credit card transaction file
612,14,13,13,wrong_date,2025-03-27,abc,INR, purchase ,Online,,,112,2025-01,2025-02-07,paid,,1446.76,N,incremental autoloader credit card transaction file
613,15,14,14,2025-02-26,2025-01-28,645.57,INR,Purchase,Online,SUCCESS,,113,2025-02,2025-03-08,paid,173.56,1447.49,N,incremental autoloader credit card transaction file
614,16,15,15,2025-03-27,2025-02-01,646.46,INR,Purchase,Online,SUCCESS,,114,2025-03,2025-01-09,paid,173.68,1448.22,N,incremental autoloader credit card transaction file
615,17,16,16,2025-01-28,2025-03-02,647.35,INR,Purchase, mobile app ,SUCCESS,,115,2025-04,2025-02-10,paid,173.8,1448.95,N,incremental autoloader credit card transaction file
616,18,17,17,2025-02-01,2025-01-03,$700,USD,,Online,SUCCESS,N,116,2025-05,2025-03-11,,₹500,1449.68,N,incremental autoloader credit card transaction file
617,19,18,18,2025-03-02,2025-02-04,649.13,INR,Purchase,Online,SUCCESS,,117,2025-06,25-02-2025,paid,174.04,1450.41,N,incremental autoloader credit card transaction file
618,20,19,19,2025-01-03,2025-03-05,650.02,INR,Purchase,Online,SUCCESS,,118,2025-07,2025-02-13,paid,174.16,1451.14,N,incremental autoloader credit card transaction file
619,21,20,20,2025-02-04,2025/02/25,650.91,INR,Purchase,Online,SUCCESS,,119,2025-08,wrong_date,paid,174.28,1451.87,N,incremental autoloader credit card transaction file
620,22,21,21,2025-03-05,2025-02-07,651.8, inr ,Purchase,POS,SUCCESS,,120,2025-02,2025-01-15,paid,174.4,1452.6,N,incremental autoloader credit card transaction file
621,23,22,22,2025/02/25,2025-03-08,652.69,INR,Purchase,Online,failed,,,2025-10,2025-02-16,paid,174.52,1453.33,N,incremental autoloader credit card transaction file
622,24,23,23,2025-02-07,2025-01-09,653.58,INR,Purchase,Online,SUCCESS,,122,2025-11,2025-03-17,paid,174.64,1454.06,N,incremental autoloader credit card transaction file
