transaction_id,customer_id,card_id,merchant_id,transaction_date,posting_date,amount,currency,transaction_type,channel,status,emi_flag,reward_points,bill_cycle_month,payment_due_date,payment_status,min_due,total_due,fraud_flag,remarks
801,3,202,2,2025-01-18,2025-03-20,812.89,INR,Purchase,Online,,,301,2025-10,2025-02-28,paid,196.12,1584.73,N,incremental autoloader credit card transaction file
802,4,203,3,2025-02-19,2025-01-21,813.78,INR,Purchase,Online,SUCCESS,,302,2025-11,,paid,196.24,1585.46,N,incremental autoloader credit card transaction file
803,5,204,4,2025-03-20,2025/02/25,$700,INR,Purchase,Online,SUCCESS,,303,2025-12,2025-01-02,paid,196.36,1586.19,N,incremental autoloader credit card transaction file
804,6,205,5,2025-01-21,2025-03-23,815.56,INR, purchase ,Online,SUCCESS,,304,2025-01,2025-02-03,paid,196.48,1586.92,N,incremental autoloader credit card transaction file
805,7,206,6,2025/02/25,2025-01-24,816.45,INR,Purchase,Online,SUCCESS,,305,2025-02,2025-03-04,paid,invalid,1587.65,N,incremental autoloader credit card transaction file
806,8,207,7,2025-03-23,2025-02-25,"2,500",INR,Purchase,Online,SUCCESS,Y,abc,2025-02,wrong_date,paid,196.72,,N,incremental autoloader credit card transaction file
807,9,208,8,2025-01-24,2025-03-26,818.23,INR,Purchase,Online,SUCCESS,,307,2025-04,25-02-2025,paid,196.84,1589.11,N,incremental autoloader credit card transaction file
808,10,209,9,2025-02-25,2025-01-27,819.12,INR,Purchase,Online,SUCCESS,,308,2025-05,2025-03-07,,196.96,1589.84,N,incremental autoloader credit card transaction file
809,11,210,10,2025-03-26,2025-02-28,820.01,INR,Purchase,Online,SUCCESS,,309,2025-06,2025-01-08,paid,197.08,1590.57,N,incremental autoloader credit card transaction file
810,12,211,11,2025-01-27,,820.9, inr ,REFUND, mobile app ,failed,,,Jan-2025,2025-02-09,paid,197.2,1591.3,N,incremental autoloader credit card transaction file
811,13,212,12,2025-02-28,2025-01-02,821.79,INR,Purchase,Online,SUCCESS,,311,2025-08,2025-03-10,paid,197.32,1592.03,N,incremental autoloader credit card transaction file
812,14,213,13,,2025-02-03,822.68,USD,Purchase,Online,SUCCESS,N,312,2025-09,2025-01-11,paid,₹500,1592.76,N,incremental autoloader credit card transaction file
813,15,214,14,2025-01-02,2025-03-04,823.57,INR,Purchase,Online,SUCCESS,,313,2025-10,2025-02-12,paid,197.56,1593.49,N,incremental autoloader credit card transaction file
814,16,215,15,2025-02-03,wrong_date,$700,INR,,Online,SUCCESS,,314,2025-11,2025-03-13,paid,197.68,1594.22,N,incremental autoloader credit card transaction file
815,17,216,16,2025-03-04,25-02-2025,825.35,INR,Purchase,Online,SUCCESS,,315,2025-12,2025-01-14,paid,197.8,1594.95,N,incremental autoloader credit card transaction file
816,18,217,17,wrong_date,2025-03-07,abc,, purchase ,,SUCCESS,,316,2025-01,2025-02-15,OVERDUE,197.92,"₹5,000",N,incremental autoloader credit card transaction file
817,19,218,18,25-02-2025,2025-01-08,,INR,Purchase,Online,SUCCESS,,317,2025-02,2025-03-16,paid,198.04,1596.41,N,incremental autoloader credit card transaction file
